Heartrate;Speed;Cadence;Steplenght;Inclination;Timestamp
82;0.12963808;0.715;0.181312;-3.85526385676;2019-11-01 11:56:28.983000
82;0.12135024;0.705;0.172128;-3.84273487889;2019-11-01 11:56:31.060000
82;0.15240624;1.005;0.151648;-3.86747450793;2019-11-01 11:56:34.826000
82;0.1549584;1.055;0.14688;-3.8533505459;2019-11-01 11:56:36.042000
82;0.14500064;0.94;0.154256;-3.86447121965;2019-11-01 11:56:37.233000
82;0.1860272;1.165;0.15968;-3.86662267415;2019-11-01 11:56:39.310000
81;0.1423872;0.96;0.14832;-3.82508546206;2019-11-01 11:56:41.356000
81;0.1539048;1.05;0.146576;-3.87904191772;2019-11-01 11:56:43.401000
81;0.13517832;1.065;0.126928;-3.84662759774;2019-11-01 11:56:45.465000
81;0.15995504;1.19;0.134416;-3.85657056452;2019-11-01 11:56:47.541000
81;0.16283888;1.205;0.135136;-3.82211527876;2019-11-01 11:56:49.584000
81;0.18600088;1.235;0.150608;-3.83913021646;2019-11-01 11:56:51.629000
81;0.15254776;1.255;0.121552;-3.81980116747;2019-11-01 11:56:53.706000
81;0.144056;1.1;0.13096;-3.82058688487;2019-11-01 11:56:55.766000
82;0.14268104;0.965;0.147856;-3.88044038098;2019-11-01 11:56:57.812000
81;0.15831952;1.01;0.156752;-3.8354659722;2019-11-01 11:56:59.857000
81;0.187632;1.125;0.166784;-3.80933102721;2019-11-01 11:57:01.917000
80;0.179396;1.075;0.16688;-3.84287214724;2019-11-01 11:57:03.979000
79;0.1636064;1.075;0.152192;-3.86755737536;2019-11-01 11:57:06.039000
79;0.17332224;1.085;0.159744;-3.84911136365;2019-11-01 11:57:08.087000
79;0.16604688;1.07;0.155184;-3.91743369188;2019-11-01 11:57:10.162000
79;0.16552896;1.095;0.151168;-3.84001584598;2019-11-01 11:57:12.222000
79;0.1808736;1.135;0.15936;-3.84876796351;2019-11-01 11:57:14.286000
79;0.15190576;1.07;0.141968;-3.85738955559;2019-11-01 11:57:16.329000
79;0.14651016;0.965;0.151824;-3.88938568327;2019-11-01 11:57:18.393000
79;0.1307808;0.855;0.15296;-3.81300302358;2019-11-01 11:57:20.453000
79;0.14204424;0.795;0.178672;-3.87966824984;2019-11-01 11:57:22.497000
79;0.1367844;0.775;0.176496;-3.83727234402;2019-11-01 11:57:24.555000
79;0.1372448;0.77;0.17824;-3.76125221502;2019-11-01 11:57:26.634000
79;0.17577752;0.835;0.210512;-3.82412936112;2019-11-01 11:57:28.696000
