Heartrate;Speed;Cadence;Steplenght;Inclination;Timestamp
75;4.1;0.8;0.5;1.5;2018-08-17 10:14:40.807601
95;6.1;0.8;0.5;2.5;2018-08-17 10:14:41.809078
