Heartrate;Speed;Cadence;Steplenght;Inclination;Timestamp
78;0.1294288;1.025;0.126272;-1.85325334988;2019-11-29 11:57:37.322000
77;0.139528;1.07;0.1304;-1.87028339326;2019-11-29 11:57:39.407000
76;0.125824;1.0;0.125824;-1.87894396109;2019-11-29 11:57:43.075000
76;0.126336;1.12;0.1128;-1.86728695211;2019-11-29 11:57:44.313000
76;0.11568448;1.16;0.099728;-1.85446908876;2019-11-29 11:57:45.609000
76;0.12164464;1.255;0.096928;-1.88112317975;2019-11-29 11:57:47.655000
76;0.14128496;1.27;0.111248;-1.90200641257;2019-11-29 11:57:49.732000
76;0.14740536;1.335;0.110416;-1.81678398778;2019-11-29 11:57:51.776000
76;0.15537984;1.32;0.117712;-1.76667241129;2019-11-29 11:57:53.820000
76;0.16109304;1.245;0.129392;-1.721916261;2019-11-29 11:57:55.867000
77;0.20592576;1.08;0.190672;-1.72489487926;2019-11-29 11:57:57.944000
77;0.20804056;1.105;0.188272;-1.68297980613;2019-11-29 11:57:59.990000
77;0.20067696;1.23;0.163152;-1.74507565717;2019-11-29 11:58:02.052000
78;0.19610616;1.335;0.146896;-1.74994581695;2019-11-29 11:58:04.097000
78;0.21589008;1.37;0.157584;-1.79617202083;2019-11-29 11:58:06.160000
79;0.21510528;1.39;0.154752;-1.78451784531;2019-11-29 11:58:08.237000
79;0.20128472;1.505;0.133744;-1.73166911255;2019-11-29 11:58:10.281000
79;0.21925728;1.485;0.147648;-1.77551241929;2019-11-29 11:58:12.327000
80;0.22234464;1.345;0.165312;-1.71090576304;2019-11-29 11:58:14.372000
80;0.22338288;1.335;0.167328;-1.78459355849;2019-11-29 11:58:16.433000
80;0.1967296;1.475;0.133376;-1.76652343586;2019-11-29 11:58:18.479000
80;0.19804296;1.455;0.136112;-1.78537223659;2019-11-29 11:58:20.527000
81;0.19886464;1.48;0.134368;-1.86078621024;2019-11-29 11:58:22.607000
81;0.20079024;1.47;0.136592;-1.71437041002;2019-11-29 11:58:24.678000
81;0.19073824;1.54;0.123856;-1.75829572427;2019-11-29 11:58:26.724000
81;0.18354336;1.54;0.119184;-1.7958062205;2019-11-29 11:58:28.796000
80;0.20896512;1.495;0.139776;-1.75150669149;2019-11-29 11:58:30.853000
81;0.21772608;1.56;0.139568;-1.77915141773;2019-11-29 11:58:32.908000
81;0.2116032;1.545;0.13696;-1.7864061265;2019-11-29 11:58:33.947000
81;0.1903268;1.585;0.12008;-1.80269663779;2019-11-29 11:58:34.983000
81;0.20855808;1.46;0.142848;-1.750833352;2019-11-29 11:58:37.048000
82;0.21242656;1.445;0.147008;-1.75866323022;2019-11-29 11:58:39.091000
82;0.2186064;1.53;0.14288;-1.77528908362;2019-11-29 11:58:41.170000
82;0.19498144;1.57;0.124192;-1.67171099684;2019-11-29 11:58:43.216000
82;0.24261336;1.485;0.163376;-1.83214340699;2019-11-29 11:58:45.285000
82;0.28614288;1.655;0.172896;-1.81752610994;2019-11-29 11:58:47.354000
82;0.31990608;1.495;0.213984;-1.69878240561;2019-11-29 11:58:49.416000
83;0.3120216;1.325;0.235488;-1.63049326498;2019-11-29 11:58:51.494000
84;0.30987712;1.315;0.235648;-1.66005963407;2019-11-29 11:58:53.554000
84;0.340258;1.525;0.22312;-1.70543303126;2019-11-29 11:58:55.601000
85;0.30626704;1.39;0.220336;-1.63086220589;2019-11-29 11:58:57.645000
86;0.3162312;1.315;0.24048;-1.65905411242;2019-11-29 11:58:59.692000
86;0.306324;1.27;0.2412;-1.75303171876;2019-11-29 11:59:01.769000
88;0.3012024;1.23;0.24488;-1.63653703754;2019-11-29 11:59:03.814000
88;0.31132816;1.21;0.257296;-1.45423286123;2019-11-29 11:59:05.858000
89;0.31827152;1.195;0.266336;-1.62345908233;2019-11-29 11:59:07.920000
89;0.33819456;1.34;0.252384;-1.59148344278;2019-11-29 11:59:09.968000
89;0.31513552;1.255;0.251104;-1.35391037234;2019-11-29 11:59:12.010000
90;0.32752464;1.245;0.263072;-1.74357870594;2019-11-29 11:59:14.063000
90;0.31913248;1.22;0.261584;-1.688327875;2019-11-29 11:59:16.118000
90;0.34602008;1.345;0.257264;-1.67722675701;2019-11-29 11:59:18.178000
91;0.33568768;1.28;0.262256;-1.54855908353;2019-11-29 11:59:20.239000
92;0.2975868;1.225;0.242928;-1.64422285612;2019-11-29 11:59:22.301000
92;0.3042384;1.205;0.25248;-1.71950561526;2019-11-29 11:59:24.346000
93;0.29173536;1.26;0.231536;-1.51862220846;2019-11-29 11:59:26.394000
94;0.30473856;1.26;0.241856;-1.6425461478;2019-11-29 11:59:28.469000
95;0.32664816;1.245;0.262368;-1.4762109255;2019-11-29 11:59:30.514000
96;0.3430296;1.35;0.254096;-1.4581353567;2019-11-29 11:59:32.576000
96;0.35954616;1.465;0.245424;-1.47559496417;2019-11-29 11:59:34.653000
96;0.33634432;1.36;0.247312;-1.66134389116;2019-11-29 11:59:36.699000
96;0.334356;1.275;0.26224;-1.52642487974;2019-11-29 11:59:38.760000
96;0.31808784;1.23;0.258608;-1.55904183929;2019-11-29 11:59:40.821000
95;0.3196172;1.225;0.260912;-1.52422167866;2019-11-29 11:59:42.893000
95;0.33013144;1.205;0.273968;-1.53133793407;2019-11-29 11:59:44.956000
96;0.32079992;1.205;0.266224;-1.54856874375;2019-11-29 11:59:45.987000
96;0.29997352;1.165;0.257488;-1.60966912901;2019-11-29 11:59:48.060000
97;0.29848192;1.16;0.257312;-1.61484533125;2019-11-29 11:59:50.106000
97;0.31025376;1.205;0.257472;-1.6021721813;2019-11-29 11:59:52.153000
97;0.27762128;1.145;0.242464;-1.51084303927;2019-11-29 11:59:54.196000
97;0.34043328;1.32;0.257904;-1.58759645587;2019-11-29 11:59:56.243000
98;0.38037832;1.435;0.265072;-1.67259918968;2019-11-29 11:59:58.288000
98;0.3377972;1.315;0.25688;-1.53487543253;2019-11-29 12:00:00.333000
98;0.3544576;1.4;0.253184;-1.6297956922;2019-11-29 12:00:02.394000
99;0.3482136;1.35;0.257936;-1.617477443;2019-11-29 12:00:04.457000
99;0.36047848;1.285;0.280528;-1.48815473526;2019-11-29 12:00:06.518000
100;0.34354032;1.245;0.275936;-1.51588420682;2019-11-29 12:00:08.563000
101;0.33387008;1.22;0.273664;-1.70310120228;2019-11-29 12:00:10.624000
101;0.32703936;1.18;0.277152;-1.6740726044;2019-11-29 12:00:12.673000
101;0.32672192;1.165;0.280448;-1.6527450623;2019-11-29 12:00:14.746000
102;0.31703504;1.19;0.266416;-1.68947963696;2019-11-29 12:00:16.813000
102;0.3073236;1.175;0.261552;-1.59031501805;2019-11-29 12:00:18.852000
102;0.29981824;1.16;0.258464;-1.48276802675;2019-11-29 12:00:20.913000
102;0.35456736;1.33;0.266592;-1.53353633392;2019-11-29 12:00:22.980000
103;0.32599936;1.285;0.253696;-1.5588674014;2019-11-29 12:00:25.038000
103;0.31259712;1.23;0.254144;-1.43037380112;2019-11-29 12:00:27.097000
104;0.3163264;1.3;0.243328;-1.48850104243;2019-11-29 12:00:29.142000
104;0.31841272;1.285;0.247792;-1.59535111626;2019-11-29 12:00:31.188000
104;0.31812744;1.255;0.253488;-1.45453128862;2019-11-29 12:00:33.265000
104;0.3153052;1.225;0.257392;-1.62001795471;2019-11-29 12:00:35.310000
104;0.32548032;1.21;0.268992;-1.57906684078;2019-11-29 12:00:37.372000
104;0.3326976;1.2;0.277248;-1.59119246762;2019-11-29 12:00:39.435000
105;0.31088512;1.19;0.261248;-1.57274739464;2019-11-29 12:00:41.479000
105;0.328008;1.185;0.2768;-1.57399559456;2019-11-29 12:00:43.541000
105;0.3041152;1.15;0.264448;-1.68381840349;2019-11-29 12:00:45.588000
105;0.3126528;1.18;0.26496;-1.62505603632;2019-11-29 12:00:47.633000
105;0.3181148;1.175;0.270736;-1.64936186696;2019-11-29 12:00:49.691000
104;0.3155232;1.15;0.274368;-1.65681186619;2019-11-29 12:00:51.772000
104;0.31885584;1.165;0.273696;-1.4943992911;2019-11-29 12:00:53.832000
104;0.32144272;1.145;0.280736;-1.76471165519;2019-11-29 12:00:55.876000
103;0.3349408;1.175;0.285056;-1.70073860458;2019-11-29 12:00:57.956000
94;0.32595264;1.17;0.278592;-1.71722153694;2019-11-29 12:01:00.015000
85;0.34861536;1.285;0.271296;-1.60089418832;2019-11-29 12:01:02.064000
78;0.36995336;1.405;0.263312;-1.6107095512;2019-11-29 12:01:04.121000
