Heartrate;Speed;Cadence;Steplenght;Inclination;Timestamp
140;0.6320448;1.2;0.526704;2.5;2020-01-28 09:01:46.460000
140;0.61046592;1.18;0.517344;3.5;2020-01-28 09:01:47.491000
140;0.6357888;1.2;0.529824;3.5;2020-01-28 09:01:48.522000
140;0.6459456;1.2;0.538288;3.5;2020-01-28 09:01:49.537000
140;0.6135568;1.175;0.522176;2.5;2020-01-28 09:01:50.553000
140;0.62191624;1.195;0.520432;3.5;2020-01-28 09:01:52.619000
140;0.59198256;1.17;0.505968;3.5;2020-01-28 09:01:53.637000
140;0.60843664;1.195;0.509152;2.5;2020-01-28 09:01:54.655000
140;0.62399792;1.19;0.524368;2.5;2020-01-28 09:01:55.673000
140;0.58691768;1.165;0.503792;2.5;2020-01-28 09:01:58.680000
140;0.57948032;1.165;0.497408;2.5;2020-01-28 09:02:00.685000
140;0.6263928;1.21;0.51768;1.5;2020-01-28 09:02:02.690000
140;0.6265728;1.2;0.522144;2.5;2020-01-28 09:02:04.695000
141;0.6364224;1.2;0.530352;1.5;2020-01-28 09:02:06.722000
141;0.63608576;1.205;0.527872;2.5;2020-01-28 09:02:07.740000
140;0.6264668;1.195;0.52424;1.5;2020-01-28 09:02:09.745000
140;0.63700192;1.195;0.533056;2.5;2020-01-28 09:02:11.766000
140;0.6242112;1.2;0.520176;3.5;2020-01-28 09:02:12.784000
140;0.62451656;1.195;0.522608;1.5;2020-01-28 09:02:13.802000
140;0.5965616;1.175;0.507712;3.5;2020-01-28 09:02:14.820000
140;0.62738456;1.195;0.525008;2.5;2020-01-28 09:02:15.845000
140;0.626784;1.2;0.52232;1.5;2020-01-28 09:02:16.894000
140;0.62112688;1.21;0.513328;3.5;2020-01-28 09:02:17.912000
140;0.62980016;1.21;0.520496;1.5;2020-01-28 09:02:20.920000
140;0.6435264;1.21;0.53184;2.5;2020-01-28 09:02:22.941000
140;0.6178276;1.205;0.51272;2.5;2020-01-28 09:02:23.959000
139;0.6273984;1.2;0.522832;1.5;2020-01-28 09:02:24.984000
139;0.61906152;1.205;0.513744;2.5;2020-01-28 09:02:28.007000
139;0.60689064;1.185;0.512144;2.5;2020-01-28 09:02:29.025000
139;0.61123384;1.205;0.507248;2.5;2020-01-28 09:02:30.043000
139;0.6256128;1.2;0.521344;3.5;2020-01-28 09:02:31.062000
139;0.6215616;1.2;0.517968;3.5;2020-01-28 09:02:34.091000
138;0.62470776;1.195;0.522768;1.5;2020-01-28 09:02:35.110000
138;0.59443488;1.17;0.508064;3.5;2020-01-28 09:02:37.130000
138;0.63942032;1.19;0.537328;1.5;2020-01-28 09:02:38.149000
138;0.60729552;1.17;0.519056;1.5;2020-01-28 09:02:39.166000
138;0.63738304;1.19;0.535616;3.5;2020-01-28 09:02:40.184000
138;0.62047232;1.18;0.525824;2.5;2020-01-28 09:02:43.214000
138;0.64935344;1.195;0.543392;3.5;2020-01-28 09:02:44.232000
139;0.60572304;1.17;0.517712;3.5;2020-01-28 09:02:46.253000
139;0.6331752;1.19;0.53208;1.5;2020-01-28 09:02:47.271000
139;0.59096256;1.165;0.507264;2.5;2020-01-28 09:02:48.290000
139;0.61966008;1.195;0.518544;1.5;2020-01-28 09:02:49.308000
140;0.62763456;1.19;0.527424;3.5;2020-01-28 09:02:50.333000
140;0.6124224;1.2;0.510352;3.5;2020-01-28 09:02:51.351000
140;0.59684688;1.19;0.501552;2.5;2020-01-28 09:02:53.356000
140;0.6071808;1.2;0.505984;3.5;2020-01-28 09:02:55.377000
140;0.6006336;1.2;0.500528;2.5;2020-01-28 09:02:56.395000
140;0.60592896;1.19;0.509184;2.5;2020-01-28 09:02:57.413000
