Heartrate;Speed;Cadence;Steplenght;Inclination;Timestamp
71;4.1;0.8;0.5;2.5;2018-08-17 09:56:47.734584
75;4.1;0.8;0.5;2.5;2018-08-17 09:56:48.736115
