Heartrate;Speed;Cadence;Steplenght;Inclination;Timestamp
96;0.81054384;1.055;0.768288;2.5;2020-01-30 08:53:40.698000
97;0.78291128;1.055;0.742096;3.5;2020-01-30 08:53:41.713000
98;0.7895328;1.05;0.751936;3.5;2020-01-30 08:53:42.744000
98;0.77546208;1.06;0.731568;3.5;2020-01-30 08:53:43.775000
99;0.7805952;1.05;0.743424;2.5;2020-01-30 08:53:44.806000
99;0.76113608;1.055;0.721456;3.5;2020-01-30 08:53:46.882000
100;0.77151096;1.045;0.738288;3.5;2020-01-30 08:53:47.909000
101;0.747348;1.05;0.71176;2.5;2020-01-30 08:53:48.927000
102;0.77997128;1.045;0.746384;2.5;2020-01-30 08:53:49.945000
102;0.77061696;1.065;0.723584;2.5;2020-01-30 08:53:50.963000
103;0.76825944;1.055;0.728208;2.5;2020-01-30 08:53:51.981000
103;0.7672704;1.04;0.73776;1.5;2020-01-30 08:53:53.006000
104;0.76105752;1.065;0.714608;2.5;2020-01-30 08:53:54.040000
104;0.77077528;1.045;0.737584;1.5;2020-01-30 08:53:55.058000
104;0.7559744;1.075;0.703232;2.5;2020-01-30 08:53:56.076000
105;0.748692;1.05;0.71304;1.5;2020-01-30 08:53:57.095000
105;0.72531672;1.055;0.687504;2.5;2020-01-30 08:54:00.124000
106;0.73369472;1.07;0.685696;3.5;2020-01-30 08:54:01.142000
107;0.71851408;1.055;0.681056;1.5;2020-01-30 08:54:03.147000
108;0.698832;1.055;0.6624;3.5;2020-01-30 08:54:05.168000
108;0.73801296;1.035;0.713056;2.5;2020-01-30 08:54:06.186000
108;0.71312472;1.045;0.682416;2.5;2020-01-30 08:54:07.204000
108;0.73808384;1.04;0.709696;1.5;2020-01-30 08:54:08.223000
109;0.71581664;1.045;0.684992;1.5;2020-01-30 08:54:11.252000
109;0.72883872;1.035;0.704192;3.5;2020-01-30 08:54:12.270000
109;0.72726984;1.045;0.695952;1.5;2020-01-30 08:54:14.275000
110;0.73049328;1.07;0.682704;1.5;2020-01-30 08:54:16.305000
111;0.74872928;1.055;0.709696;1.5;2020-01-30 08:54:17.329000
112;0.7438872;1.05;0.708464;2.5;2020-01-30 08:54:20.352000
113;0.7453992;1.05;0.709904;2.5;2020-01-30 08:54:21.370000
113;0.7286264;1.075;0.677792;3.5;2020-01-30 08:54:22.395000
114;0.72392832;1.08;0.670304;3.5;2020-01-30 08:54:25.402000
115;0.73194848;1.07;0.684064;1.5;2020-01-30 08:54:27.423000
115;0.7332532;1.075;0.682096;1.5;2020-01-30 08:54:28.441000
115;0.7341136;1.06;0.69256;3.5;2020-01-30 08:54:29.460000
115;0.7268032;1.075;0.676096;1.5;2020-01-30 08:54:30.478000
115;0.72379752;1.055;0.686064;1.5;2020-01-30 08:54:31.503000
115;0.74165392;1.085;0.683552;3.5;2020-01-30 08:54:32.521000
115;0.73322496;1.08;0.678912;2.5;2020-01-30 08:54:34.526000
116;0.7223784;1.07;0.67512;3.5;2020-01-30 08:54:36.547000
116;0.73937976;1.085;0.681456;3.5;2020-01-30 08:54:37.565000
116;0.75596256;1.065;0.709824;1.5;2020-01-30 08:54:38.694000
116;0.72958464;1.065;0.685056;2.5;2020-01-30 08:54:39.730000
117;0.74774;1.09;0.686;1.5;2020-01-30 08:54:40.755000
117;0.7459468;1.075;0.693904;3.5;2020-01-30 08:54:42.794000
117;0.81241576;1.115;0.728624;3.5;2020-01-30 08:54:43.821000
117;0.7957768;1.105;0.72016;2.5;2020-01-30 08:54:44.860000
117;0.79423864;1.105;0.718768;3.5;2020-01-30 08:54:45.896000
117;0.79727848;1.135;0.702448;2.5;2020-01-30 08:54:46.924000
117;0.79669736;1.135;0.701936;2.5;2020-01-30 08:54:47.956000
117;0.81548136;1.165;0.699984;1.5;2020-01-30 08:54:48.974000
116;0.79081464;1.155;0.684688;2.5;2020-01-30 08:54:49.992000
116;0.7875008;1.16;0.67888;1.5;2020-01-30 08:54:53.036000
115;0.818664;1.155;0.7088;2.5;2020-01-30 08:54:54.057000
115;0.78716704;1.13;0.696608;3.5;2020-01-30 08:54:56.062000
115;0.809216;1.16;0.6976;3.5;2020-01-30 08:54:58.066000
115;0.78642576;1.13;0.695952;2.5;2020-01-30 08:55:00.087000
115;0.7926352;1.19;0.66608;3.5;2020-01-30 08:55:01.105000
115;0.81650408;1.145;0.713104;3.5;2020-01-30 08:55:02.123000
115;0.81152104;1.145;0.708752;3.5;2020-01-30 08:55:03.141000
115;0.8037456;1.14;0.70504;2.5;2020-01-30 08:55:04.166000
116;0.8155;1.165;0.7;2.5;2020-01-30 08:55:05.184000
116;0.81901568;1.16;0.706048;2.5;2020-01-30 08:55:07.189000
116;0.82858776;1.155;0.717392;2.5;2020-01-30 08:55:09.194000
117;0.80728576;1.16;0.695936;2.5;2020-01-30 08:55:11.215000
119;0.80105256;1.155;0.693552;2.5;2020-01-30 08:55:12.233000
119;0.81520824;1.155;0.705808;3.5;2020-01-30 08:55:13.251000
120;0.80064768;1.12;0.714864;1.5;2020-01-30 08:55:14.269000
121;0.79326464;1.12;0.708272;3.5;2020-01-30 08:55:15.294000
121;0.78905344;1.12;0.704512;3.5;2020-01-30 08:55:16.312000
122;0.8430696;1.15;0.733104;2.5;2020-01-30 08:55:18.316000
