Heartrate;Speed;Cadence;Steplenght;Inclination;Timestamp
91;4.1;0.8;0.5;1.5;2018-08-16 19:11:59.045626
86;6.1;0.8;0.5;3.5;2018-08-16 19:12:00.046913
