Heartrate;Speed;Cadence;Steplenght;Inclination;Timestamp
114;0.44171568;0.945;0.467424;-4.17221485475;2019-11-20 08:52:31.649000
115;0.45196704;0.945;0.478272;-4.14081280451;2019-11-20 08:52:33.737000
115;0.4415796;0.945;0.46728;-4.1871551423;2019-11-20 08:52:37.502000
115;0.54190576;1.21;0.447856;-4.25023172393;2019-11-20 08:52:38.709000
115;0.46115984;1.03;0.447728;-4.00744804031;2019-11-20 08:52:39.932000
115;0.4552;1.0;0.4552;-4.18246367698;2019-11-20 08:52:41.978000
115;0.4540456;0.985;0.46096;-4.14768779453;2019-11-20 08:52:44.039000
115;0.4550676;0.975;0.466736;-4.20977353727;2019-11-20 08:52:46.085000
115;0.4559432;0.965;0.47248;-4.21164556294;2019-11-20 08:52:48.129000
116;0.46422208;0.98;0.473696;-4.21280838782;2019-11-20 08:52:50.192000
116;0.4650204;0.975;0.476944;-4.13606507811;2019-11-20 08:52:52.238000
116;0.46153376;0.97;0.475808;-4.29181175832;2019-11-20 08:52:54.299000
116;0.4281512;0.965;0.44368;-4.16452768162;2019-11-20 08:52:56.359000
116;0.43431936;0.96;0.452416;-4.1448104116;2019-11-20 08:52:58.423000
116;0.4519632;0.975;0.463552;-4.21099068648;2019-11-20 08:53:00.483000
116;0.42832096;0.97;0.441568;-4.18629896411;2019-11-20 08:53:02.562000
116;0.44455936;0.98;0.453632;-4.12695777377;2019-11-20 08:53:04.637000
116;0.4545684;0.975;0.466224;-4.21124482291;2019-11-20 08:53:06.684000
116;0.44461696;0.97;0.458368;-4.19315987333;2019-11-20 08:53:08.745000
115;0.46833024;0.98;0.477888;-4.28461629108;2019-11-20 08:53:10.809000
115;0.473304;0.975;0.48544;-4.12646036303;2019-11-20 08:53:12.868000
115;0.47604496;0.97;0.490768;-4.17685764664;2019-11-20 08:53:14.930000
114;0.46829568;0.96;0.487808;-4.15808274198;2019-11-20 08:53:16.975000
114;0.47536208;0.97;0.490064;-4.16485031238;2019-11-20 08:53:19.056000
114;0.48167872;0.97;0.496576;-4.2271579638;2019-11-20 08:53:21.131000
114;0.47672544;0.965;0.494016;-4.09268925261;2019-11-20 08:53:23.175000
114;0.48799296;0.98;0.497952;-4.23717767117;2019-11-20 08:53:25.237000
114;0.4871724;0.975;0.499664;-4.17232390918;2019-11-20 08:53:27.282000
114;0.47507336;0.965;0.492304;-4.21619826644;2019-11-20 08:53:29.330000
114;0.4633668;0.975;0.475248;-4.30111181067;2019-11-20 08:53:31.390000
114;0.48260272;0.985;0.489952;-4.17946357307;2019-11-20 08:53:33.451000
114;0.47912;1.0;0.47912;-4.12909169614;2019-11-20 08:53:35.513000
114;0.4575384;0.99;0.46216;-4.17196781907;2019-11-20 08:53:37.560000
114;0.47634048;0.99;0.481152;-4.12671955048;2019-11-20 08:53:38.583000
114;0.4810884;0.975;0.493424;-4.14451639812;2019-11-20 08:53:40.658000
114;0.48912736;0.985;0.496576;-4.14154127746;2019-11-20 08:53:42.704000
114;0.49139552;0.98;0.501424;-4.14196117307;2019-11-20 08:53:44.750000
114;0.4784856;0.965;0.49584;-4.19831602468;2019-11-20 08:53:46.794000
114;0.4784932;0.955;0.50104;-4.24313650378;2019-11-20 08:53:48.840000
114;0.48112136;0.955;0.503792;-4.23940964525;2019-11-20 08:53:50.918000
115;0.4856552;0.95;0.511216;-4.19472653391;2019-11-20 08:53:52.963000
116;0.50519152;0.97;0.520816;-4.12401579547;2019-11-20 08:53:55.026000
117;0.4947;0.97;0.51;-4.16517540367;2019-11-20 08:53:57.070000
117;0.48192;0.96;0.502;-4.17999136302;2019-11-20 08:53:59.132000
118;0.4936308;0.975;0.506288;-4.20186117988;2019-11-20 08:54:01.177000
118;0.49117696;0.97;0.506368;-4.11370788462;2019-11-20 08:54:03.224000
118;0.49812992;0.97;0.513536;-4.23396599009;2019-11-20 08:54:05.286000
118;0.5007964;0.965;0.51896;-4.26876931771;2019-11-20 08:54:07.345000
117;0.4866264;0.975;0.499104;-4.25708092877;2019-11-20 08:54:09.394000
117;0.51203584;0.97;0.527872;-4.12250712963;2019-11-20 08:54:11.437000
117;0.5040108;0.955;0.52776;-4.15345545062;2019-11-20 08:54:13.482000
117;0.5568888;0.975;0.571168;-4.23706430114;2019-11-20 08:54:15.546000
117;0.55105312;0.97;0.568096;-4.18939416163;2019-11-20 08:54:17.608000
116;0.59115168;0.98;0.603216;-4.15902442792;2019-11-20 08:54:19.651000
116;0.6063876;0.975;0.621936;-4.13330660185;2019-11-20 08:54:21.698000
116;0.63909952;0.985;0.648832;-4.13672660035;2019-11-20 08:54:23.758000
116;0.66331104;0.98;0.676848;-4.15980372054;2019-11-20 08:54:25.815000
117;0.66366936;0.985;0.673776;-4.11299404293;2019-11-20 08:54:27.885000
117;0.67287584;0.98;0.686608;-4.13907085691;2019-11-20 08:54:29.944000
117;0.6453408;0.975;0.661888;-4.17191748713;2019-11-20 08:54:31.989000
118;0.68292672;0.98;0.696864;-4.26818086827;2019-11-20 08:54:34.051000
118;0.712452;0.975;0.73072;-4.19834471662;2019-11-20 08:54:36.112000
118;0.734058;0.975;0.75288;-4.17523856664;2019-11-20 08:54:38.158000
118;0.69208256;0.965;0.717184;-4.17635379444;2019-11-20 08:54:40.203000
118;0.73238144;0.98;0.747328;-4.22454252722;2019-11-20 08:54:42.248000
118;0.75847792;0.97;0.781936;-4.205369704;2019-11-20 08:54:44.310000
117;0.73670416;0.965;0.763424;-4.13980260054;2019-11-20 08:54:46.356000
117;0.7747116;0.975;0.794576;-4.15326283976;2019-11-20 08:54:48.402000
117;0.79394152;0.985;0.806032;-4.2047930338;2019-11-20 08:54:50.446000
117;0.7766772;0.975;0.796592;-4.25596913159;2019-11-20 08:54:52.509000
117;0.7947768;0.985;0.80688;-4.26521615292;2019-11-20 08:54:54.574000
116;0.8331568;0.98;0.85016;-4.13251901655;2019-11-20 08:54:56.630000
116;0.8101548;0.975;0.830928;-4.0867709572;2019-11-20 08:54:58.681000
115;0.80510528;0.98;0.821536;-4.17549890011;2019-11-20 08:55:00.726000
115;0.8084856;0.975;0.829216;-4.25377108673;2019-11-20 08:55:02.801000
116;0.7753512;0.975;0.795232;-4.16726325378;2019-11-20 08:55:04.885000
116;0.81703776;0.98;0.833712;-4.16337353068;2019-11-20 08:55:06.923000
116;0.79476104;0.985;0.806864;-4.18957730414;2019-11-20 08:55:08.968000
116;0.81225536;0.98;0.828832;-4.14785139609;2019-11-20 08:55:11.016000
116;0.81433496;0.985;0.826736;-4.18260119255;2019-11-20 08:55:13.059000
116;0.76117536;0.99;0.768864;-4.21171851042;2019-11-20 08:55:15.105000
116;0.79753184;0.98;0.813808;-4.17997396993;2019-11-20 08:55:17.168000
116;0.80726912;0.98;0.823744;-4.23025663375;2019-11-20 08:55:19.227000
116;0.85481088;0.98;0.872256;-4.19891978313;2019-11-20 08:55:21.289000
116;0.83652624;0.99;0.844976;-4.11255361991;2019-11-20 08:55:23.350000
116;0.81242784;0.98;0.829008;-4.26964107447;2019-11-20 08:55:25.428000
116;0.8725524;0.985;0.88584;-4.36402721603;2019-11-20 08:55:27.490000
116;0.7985016;0.975;0.818976;-4.27521090393;2019-11-20 08:55:29.567000
116;0.81844832;0.985;0.830912;-4.27430552023;2019-11-20 08:55:31.612000
116;0.8290152;0.975;0.850272;-4.19999955542;2019-11-20 08:55:33.674000
116;0.832128;0.985;0.8448;-4.20675999763;2019-11-20 08:55:35.736000
117;0.8254584;0.975;0.846624;-4.1457411757;2019-11-20 08:55:37.783000
117;0.815974;0.985;0.8284;-4.147491557;2019-11-20 08:55:39.826000
117;0.77942144;0.98;0.795328;-4.18280833334;2019-11-20 08:55:41.876000
116;0.82725816;0.985;0.839856;-4.16273879873;2019-11-20 08:55:43.934000
116;0.80715936;0.98;0.823632;-4.21005381306;2019-11-20 08:55:45.981000
116;0.83628864;0.985;0.849024;-4.23114929325;2019-11-20 08:55:48.028000
116;0.7969896;0.99;0.80504;-4.20689473065;2019-11-20 08:55:50.072000
116;0.83828416;0.98;0.855392;-4.19974086185;2019-11-20 08:55:52.118000
116;0.88708752;0.99;0.896048;-4.25168157975;2019-11-20 08:55:54.178000
116;0.8256612;0.975;0.846832;-4.18409910505;2019-11-20 08:55:56.223000
116;0.8744436;0.985;0.88776;-4.26113465085;2019-11-20 08:55:58.269000
116;0.84414528;0.99;0.852672;-4.09274290991;2019-11-20 08:56:00.314000
116;0.87291488;0.985;0.886208;-4.10799426856;2019-11-20 08:56:02.378000
116;0.83079216;0.99;0.839184;-4.24616024499;2019-11-20 08:56:04.437000
116;0.81189472;0.98;0.828464;-4.11217184674;2019-11-20 08:56:06.484000
116;0.8638056;0.985;0.87696;-4.18199078024;2019-11-20 08:56:08.530000
116;0.83489472;0.99;0.843328;-4.27608591217;2019-11-20 08:56:10.605000
116;0.8317456;0.98;0.84872;-4.1710506767;2019-11-20 08:56:12.651000
116;0.82507392;0.99;0.833408;-4.20039951265;2019-11-20 08:56:14.701000
116;0.79919136;0.99;0.807264;-4.17009091351;2019-11-20 08:56:15.735000
117;0.85065568;0.98;0.868016;-4.17445547171;2019-11-20 08:56:17.798000
117;0.81769248;0.99;0.825952;-4.22142063209;2019-11-20 08:56:19.843000
117;0.86450112;0.98;0.882144;-4.20392645217;2019-11-20 08:56:21.904000
116;0.84604608;0.99;0.854592;-4.19315107246;2019-11-20 08:56:23.966000
116;0.79086768;0.965;0.819552;-4.22637329702;2019-11-20 08:56:26.011000
116;0.83877872;0.985;0.851552;-4.15566164438;2019-11-20 08:56:28.086000
116;0.80186832;0.99;0.809968;-4.29999888989;2019-11-20 08:56:30.168000
115;0.77880992;0.98;0.794704;-4.18546824957;2019-11-20 08:56:32.229000
115;0.81556992;0.99;0.823808;-4.1623078773;2019-11-20 08:56:34.276000
115;0.7622208;0.99;0.76992;-4.30325239082;2019-11-20 08:56:36.319000
115;0.79794456;0.985;0.810096;-4.1945561847;2019-11-20 08:56:38.398000
115;0.80202672;0.99;0.810128;-4.21058170844;2019-11-20 08:56:40.475000
115;0.77328216;0.995;0.777168;-4.2441700458;2019-11-20 08:56:42.521000
116;0.836068;0.985;0.8488;-4.1387616431;2019-11-20 08:56:44.566000
116;0.83259792;0.99;0.841008;-4.15320247915;2019-11-20 08:56:46.627000
117;0.85570464;0.98;0.873168;-4.14672455379;2019-11-20 08:56:48.689000
117;0.81439648;0.97;0.839584;-4.21044950644;2019-11-20 08:56:50.734000
117;0.84309792;0.98;0.860304;-4.0809670571;2019-11-20 08:56:52.779000
117;0.80899392;0.98;0.825504;-4.31069338223;2019-11-20 08:56:54.825000
117;0.87191776;0.98;0.889712;-4.10829990187;2019-11-20 08:56:56.871000
117;0.81715904;0.97;0.842432;-4.19412942124;2019-11-20 08:56:58.932000
