Heartrate;Speed;Cadence;Steplenght;Inclination;Timestamp
79;0.05850832;1.495;0.039136;2.5;2020-01-29 11:56:21.239000
79;0.06203096;1.445;0.042928;3.5;2020-01-29 11:56:22.276000
79;0.06061176;1.485;0.040816;3.5;2020-01-29 11:56:23.302000
79;0.05378192;1.57;0.034256;3.5;2020-01-29 11:56:24.367000
79;0.0418336;1.7;0.024608;2.5;2020-01-29 11:56:27.462000
79;0.03941504;1.66;0.023744;3.5;2020-01-29 11:56:28.485000
78;0.044496;1.8;0.02472;3.5;2020-01-29 11:56:29.520000
78;0.0474672;1.86;0.02552;2.5;2020-01-29 11:56:30.542000
77;0.04229632;1.76;0.024032;2.5;2020-01-29 11:56:31.566000
76;0.05166;1.845;0.028;2.5;2020-01-29 11:56:32.589000
75;0.05066928;1.665;0.030432;2.5;2020-01-29 11:56:33.627000
75;0.05082288;1.695;0.029984;1.5;2020-01-29 11:56:34.649000
75;0.042366;1.535;0.0276;2.5;2020-01-29 11:56:35.672000
74;0.04527984;1.79;0.025296;1.5;2020-01-29 11:56:36.695000
74;0.04957936;1.735;0.028576;2.5;2020-01-29 11:56:37.717000
74;0.1205568;1.84;0.06552;1.5;2020-01-29 11:56:38.741000
75;0.0566796;1.585;0.03576;2.5;2020-01-29 11:56:39.762000
75;0.05511808;1.445;0.038144;3.5;2020-01-29 11:56:40.785000
75;0.05829568;1.58;0.036896;1.5;2020-01-29 11:56:41.807000
76;0.05515648;1.64;0.033632;3.5;2020-01-29 11:56:42.831000
77;0.04782336;1.56;0.030656;2.5;2020-01-29 11:56:43.853000
78;0.04375296;1.62;0.027008;2.5;2020-01-29 11:56:44.875000
79;0.04711136;1.73;0.027232;1.5;2020-01-29 11:56:45.898000
79;0.04789984;1.81;0.026464;1.5;2020-01-29 11:56:46.921000
80;0.05182144;1.87;0.027712;3.5;2020-01-29 11:56:47.943000
81;0.0559584;1.675;0.033408;1.5;2020-01-29 11:56:48.968000
81;0.09956608;1.52;0.065504;1.5;2020-01-29 11:56:50.005000
80;0.24540504;1.335;0.183824;2.5;2020-01-29 11:56:51.043000
80;0.3152256;1.2;0.262688;2.5;2020-01-29 11:56:52.081000
